Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
FA1;aktiver Rücken/Beckenboden;19:00:00;20:00:00;Montag;ARTICO 4er;,010,;;;Fitness und Gesundheit;1
S8;Menstyling;21:00:00;22:00:00;Montag;ARTICO 4er;,007,;Ferienkurs;;Salsa L.A.;1
FReh;Reha-Sport Mo;10:00:00;10:45:00;Montag;ARTICO 5er;,024,;Ferienkurs;;Fitness und Gesundheit;1
MS2;Streetstyle Juniors;15:30:00;16:30:00;Montag;ARTICO 5er;,014,;;;Streetstyle;1
B21;Elfenballett;16:30:00;17:15:00;Montag;ARTICO 5er;,014,;;;Ballett;1
Codys;Bewegungskünste;17:15:00;18:00:00;Montag;ARTICO 5er;,017,,085,;;;Circusverein;2
MS4;Streetstyle (ab 13J);18:00:00;19:00:00;Montag;ARTICO 5er;,014,;;;Modern;1
FB1;Bodystyling;18:30:00;19:30:00;Montag;ARTICO 5er;,025,;Ferienkurs;;Fitness und Gesundheit;1
S5;Salsa Showgruppe;20:00:00;21:00:00;Montag;ARTICO 5er;,014,,007,;Ferienkurs;;Salsa L.A.;2
S72;Ladystyle Showgruppe;21:00:00;22:00:00;Montag;ARTICO 5er;,014,;Ferienkurs;;Salsa L.A.;1
MF2;Moderner Tanz Freystadt;14:30:00;15:30:00;Montag;Freystadt;,007,;;;Modern;1
MF1;Moderner Tanz Freystadt;15:30:00;16:15:00;Montag;Freystadt;,007,;;;Modern;1
MF3;Moderner Tanz Teens;16:15:00;17:15:00;Montag;Freystadt;,007,;;;Modern;1
Climbers;Turnen & Tanz;15:30:00;16:15:00;Montag;Turnerheim;,013,,001,,006,;;;Circusverein;3
Climbers;Bewegungskünste;16:15:00;17:00:00;Montag;Turnerheim;,006,,114,;;;Circusverein;2
Tumblers;Turnen & Tanz;16:15:00;17:00:00;Montag;Turnerheim;,001,,013,;;;Circusverein;2
Soleis;Turnen & Tanz;17:00:00;17:45:00;Montag;Turnerheim;,006,,005,;;;Circusverein;2
Tumblers;Bewegungskünste;17:00:00;17:45:00;Montag;Turnerheim;,001,,030,,013,;;;Circusverein;3
Burpees;Turnen & Tanz;17:45:00;18:30:00;Montag;Turnerheim;,005,,062,;;;Circusverein;2
Soleis;Bewegungskünste;17:45:00;18:30:00;Montag;Turnerheim;,006,,001,,030,;;;Circusverein;3
Burpees;Bewegungskünste;18:30:00;19:15:00;Montag;Turnerheim;,005,,062,,006,;;;Circusverein;3
FC1;CrossTraining Mo;19:15:00;20:00:00;Montag;Turnerheim;,016,;;;Fitness und Gesundheit;1
Roncallis;Großgeräte;10:15:00;10:45:00;Samstag;ARTICO 1er;,004,,076,,097,,104,,115,;;;Circusverein;5
Figos;Großgeräte;10:45:00;11:15:00;Samstag;ARTICO 1er;,004,,076,,097,,104,,115,;;;Circusverein;5
Codys;Großgeräte;11:15:00;11:45:00;Samstag;ARTICO 1er;,000,,076,,097,,104,,115,;;;Circusverein;5
Twisters;Großgeräte;10:15:00;10:45:00;Samstag;ARTICO 4er;,004,,076,,097,,104,,115,;;;Circusverein;5
Sarasanis;Großgeräte;11:15:00;11:45:00;Samstag;ARTICO 4er;,000,,076,,097,,104,,115,;;;Circusverein;5
Roncallis & Twisters;Aufwärmen;09:45:00;10:15:00;Samstag;ARTICO 5er;,017,,004,;;;Circusverein;2
Figos;Aufwärmen;10:15:00;10:45:00;Samstag;ARTICO 5er;,017,;;;Circusverein;1
Codys & Sarasanis;Aufwärmen;10:45:00;11:15:00;Samstag;ARTICO 5er;,017,;;;Circusverein;1
Zukaharas;Aufwärmen & Turnen;09:00:00;10:00:00;Samstag;OG T1;,095,,049,,059,;;;Circusverein;3
Climbers;Aufwärmen & Turnen;10:00:00;11:00:00;Samstag;OG T1;,095,,049,,059,;;;Circusverein;3
Baldonis & Kaskadas;Aufwärmen & Turnen;11:00:00;12:00:00;Samstag;OG T1;,095,,049,,059,;;;Circusverein;3
Burpees & Jokers;Aufwärmen;09:00:00;09:30:00;Samstag;OG T2;,009,;;;Circusverein;1
Artistiks & Menikellis;Aufwärmen;09:30:00;10:00:00;Samstag;OG T2;,009,;;;Circusverein;1
Flips & Tumblers;Aufwärmen;10:00:00;10:30:00;Samstag;OG T2;,009,;;;Circusverein;1
Monkeys & Saltos;Aufwärmen;10:30:00;11:00:00;Samstag;OG T2;,009,;;;Circusverein;1
Acrobatics & Barellis;Aufwärmen;11:00:00;11:30:00;Samstag;OG T2;,009,;;;Circusverein;1
Sambesis & Soleis;Aufwärmen;11:30:00;12:00:00;Samstag;OG T2;,009,;;;Circusverein;1
Flick-Flacks & Wonderteens;Aufwärmen;12:00:00;12:30:00;Samstag;OG T2;,004,,000,;;;Circusverein;2
0;Aufbau & kreative Planung;09:00:00;09:30:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,,098,;;;Circusverein;7
Burpees & Jokers;Großgeräte;09:30:00;10:00:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,,098,;;;Circusverein;7
Artistiks & Menikellis;Großgeräte;10:00:00;10:30:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,,098,;;;Circusverein;7
Flips & Tumblers;Großgeräte;10:30:00;11:00:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,,098,;;;Circusverein;7
Monkeys & Saltos;Großgeräte;11:00:00;11:30:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,;;;Circusverein;6
Acrobatics & Barellis;Großgeräte;11:30:00;12:00:00;Samstag;OG T3;,005,,006,,002,,029,,070,,107,;;;Circusverein;6
Sambesis & Soleis;Großgeräte;12:00:00;12:30:00;Samstag;OG T3;,009,,036,102,,042,,050,,098,;;;Circusverein;6
Flick-Flacks & Wonderteens;Großgeräte;12:30:00;13:00:00;Samstag;OG T3;,004,,000,;;;Circusverein;2
G11;Tanzen Einsteiger;16:30:00;17:30:00;Sonntag;ARTICO 1er;,020,,055,;;;Gesellschaftstanz;2
G23;Tanzwerkstatt;17:45:00;18:45:00;Sonntag;ARTICO 1er;,020,,055,;;;Gesellschaftstanz;2
G33;Tanzkreis;19:00:00;20:00:00;Sonntag;ARTICO 1er;,020,,055,;;;Gesellschaftstanz;2
S99;Kinderbetreuung Tanz;15:30:00;16:30:00;Sonntag;ARTICO 3er;,112,;Ferienkurs;Salsa;Salsa L.A.;1
G99;Kinderbetreuung Tanz;16:30:00;17:30:00;Sonntag;ARTICO 3er;,112,;Ferienkurs;Gesellschaftstanz;Gesellschaftstanz;1
G100;Kinderbetreuung Tanz;17:30:00;18:45:00;Sonntag;ARTICO 3er;,112,;Ferienkurs;;Gesellschaftstanz;1
